numero,piso,metraje,prorrateo,owner_rut,owner_nombre,owner_email,tenant_rut,tenant_nombre,tenant_email,tenant_fono
309,3,70,1.17,10035786-0,Juan Contreras,juan.contreras@email.com,,,
310,3,70,1.17,10037020-4,Pedro Perez,pedro.perez@email.com,,,
401,4,50,0.83,10038254-7,Pedro Rodriguez,pedro.rodriguez@email.com,,,
402,4,60,1.0,10039488-K,Pedro Diaz,pedro.diaz@email.com,,,
403,4,70,1.17,10040722-1,Pedro Perez,pedro.perez@email.com,,,
404,4,45,0.75,10041956-4,Sofia Silva,sofia.silva@email.com,,,
405,4,60,1.0,10043190-4,Ana Contreras,ana.contreras@email.com,,,
406,4,50,0.83,10044424-0,Sofia Perez,sofia.perez@email.com,,,
407,4,80,1.33,10045658-3,Jorge Munoz,jorge.munoz@email.com,,,
408,4,50,0.83,10046892-1,Maria Diaz,maria.diaz@email.com,,,
409,4,80,1.33,10048126-K,Maria Gonzalez,maria.gonzalez@email.com,,,
410,4,60,1.0,10049360-8,Ana Munoz,ana.munoz@email.com,,,
501,5,45,0.75,10050594-0,Ana Gonzalez,ana.gonzalez@email.com,,,
502,5,50,0.83,10051828-7,Luis Lopez,luis.lopez@email.com,,,
503,5,45,0.75,10053062-7,Juan Gonzalez,juan.gonzalez@email.com,,,
504,5,70,1.17,10054296-K,Juan Perez,juan.perez@email.com,,,
505,5,45,0.75,10055530-1,Pedro Rojas,pedro.rojas@email.com,,,
506,5,45,0.75,10056764-4,Claudia Rojas,claudia.rojas@email.com,,,
507,5,60,1.0,10057998-7,Pedro Contreras,pedro.contreras@email.com,,,
508,5,80,1.33,10059232-0,Maria Morales,maria.morales@email.com,,,
509,5,80,1.33,10060466-3,Diego Silva,diego.silva@email.com,,,
510,5,60,1.0,10061700-5,Diego Lopez,diego.lopez@email.com,,,
601,6,60,1.0,10062934-8,Sofia Perez,sofia.perez@email.com,,,
602,6,80,1.33,10064168-2,Pedro Rodriguez,pedro.rodriguez@email.com,,,
603,6,80,1.33,10065402-4,Maria Munoz,maria.munoz@email.com,,,
604,6,50,0.83,10066636-7,Maria Munoz,maria.munoz@email.com,,,
605,6,80,1.33,10067870-5,Maria Silva,maria.silva@email.com,,,
606,6,45,0.75,10069104-3,Luis Munoz,luis.munoz@email.com,,,
607,6,50,0.83,10070338-6,Maria Silva,maria.silva@email.com,,,
608,6,50,0.83,10071572-4,Luis Lopez,luis.lopez@email.com,,,
609,6,70,1.17,10072806-0,Ana Perez,ana.perez@email.com,,,
610,6,70,1.17,10074040-0,Luis Contreras,luis.contreras@email.com,,,
701,7,80,1.33,10075274-3,Maria Silva,maria.silva@email.com,,,
702,7,80,1.33,10076508-K,Diego Perez,diego.perez@email.com,,,
703,7,45,0.75,10077742-8,Luis Rodriguez,luis.rodriguez@email.com,,,
704,7,70,1.17,10078976-0,Camila Rodriguez,camila.rodriguez@email.com,,,
705,7,45,0.75,10080210-4,Jorge Contreras,jorge.contreras@email.com,,,
706,7,50,0.83,10081444-7,Jorge Perez,jorge.perez@email.com,,,
707,7,80,1.33,10082678-K,Diego Contreras,diego.contreras@email.com,,,
708,7,70,1.17,10083912-1,Camila Munoz,camila.munoz@email.com,,,
709,7,80,1.33,10085146-6,Ana Rodriguez,ana.rodriguez@email.com,,,
710,7,45,0.75,10086380-4,Ana Morales,ana.morales@email.com,,,
801,8,60,1.0,10087614-0,Ana Gonzalez,ana.gonzalez@email.com,,,
802,8,60,1.0,10088848-3,Camila Rojas,camila.rodriguez@email.com,,,
803,8,70,1.17,10090082-3,Maria Silva,maria.silva@email.com,,,
804,8,45,0.75,10091316-K,Pedro Munoz,pedro.munoz@email.com,,,
805,8,80,1.33,10092550-8,Diego Rojas,diego.rojas@email.com,,,
806,8,50,0.83,10093784-0,Luis Silva,luis.silva@email.com,,,
807,8,80,1.33,10095018-9,Pedro Rodriguez,pedro.rodriguez@email.com,,,
808,8,45,0.75,10096252-7,Sofia Perez,sofia.perez@email.com,,,
809,8,80,1.33,10097486-K,Maria Silva,maria.silva@email.com,,,
810,8,70,1.17,10098720-1,Maria Gonzalez,maria.gonzalez@email.com,,,
901,9,70,1.17,10099954-4,Juan Morales,juan.morales@email.com,,,
902,9,80,1.33,10101188-7,Jorge Rodriguez,jorge.rodriguez@email.com,,,
903,9,80,1.33,10102422-9,Jorge Diaz,jorge.diaz@email.com,,,
904,9,60,1.0,10103656-1,Juan Silva,juan.silva@email.com,,,
905,9,45,0.75,10104890-K,Diego Munoz,diego.munoz@email.com,,,
906,9,80,1.33,10106124-8,Claudia Munoz,claudia.munoz@email.com,,,
907,9,80,1.33,10107358-0,Claudia Diaz,claudia.diaz@email.com,,,
908,9,50,0.83,10108592-9,Ana Silva,ana.silva@email.com,,,
909,9,45,0.75,10109826-5,Luis Perez,luis.perez@email.com,,,
910,9,50,0.83,10111060-5,Jorge Rojas,jorge.rojas@email.com,,,
1001,10,60,1.0,10112294-8,Claudia Contreras,claudia.contreras@email.com,,,
1002,10,50,0.83,10113528-4,Jorge Rodriguez,jorge.rodriguez@email.com,,,
1003,10,80,1.33,10114762-2,Diego Lopez,diego.lopez@email.com,,,
1004,10,70,1.17,10115996-5,Jorge Diaz,jorge.diaz@email.com,,,
1005,10,45,0.75,10117230-9,Sofia Lopez,sofia.lopez@email.com,,,
1006,10,70,1.17,10118464-1,Juan Silva,juan.silva@email.com,,,
1007,10,80,1.33,10119698-4,Maria Silva,maria.silva@email.com,,,
1008,10,70,1.17,10120932-6,Diego Silva,diego.silva@email.com,,,
1009,10,45,0.75,10122166-0,Luis Munoz,luis.munoz@email.com,,,
1010,10,70,1.17,10123400-2,Ana Perez,ana.perez@email.com,,,
1101,11,45,0.75,10124634-5,Diego Contreras,diego.contreras@email.com,,,
1102,11,80,1.33,10125868-8,Sofia Morales,sofia.morales@email.com,,,
1103,11,60,1.0,10127102-1,Camila Contreras,camila.contreras@email.com,,,
1104,11,60,1.0,10128336-4,Claudia Perez,claudia.perez@email.com,,,
1105,11,80,1.33,10129570-2,Ana Contreras,ana.contreras@email.com,,,
1106,11,45,0.75,10130804-9,Ana Perez,ana.perez@email.com,,,
1107,11,45,0.75,10132038-3,Pedro Rojas,pedro.rojas@email.com,,,
1108,11,50,0.83,10133272-1,Juan Morales,juan.morales@email.com,,,
1109,11,50,0.83,10134506-8,Ana Contreras,ana.contreras@email.com,,,
1110,11,60,1.0,10135740-6,Juan Munoz,juan.munoz@email.com,,,
1201,12,45,0.75,10136974-9,Camila Gonzalez,camila.gonzalez@email.com,,,
1202,12,45,0.75,10138208-7,Juan Rojas,juan.rojas@email.com,,,
1203,12,45,0.75,10139442-5,Luis Morales,luis.morales@email.com,,,
1204,12,50,0.83,10140676-8,Maria Rodriguez,maria.rodriguez@email.com,,,
1205,12,70,1.17,10141910-K,Luis Rojas,luis.rojas@email.com,,,
1206,12,60,1.0,10143144-4,Ana Contreras,ana.contreras@email.com,,,
1207,12,80,1.33,10144378-7,Claudia Diaz,claudia.diaz@email.com,,,
1208,12,60,1.0,10145612-9,Claudia Munoz,claudia.munoz@email.com,,,
1209,12,50,0.83,10146846-1,Pedro Perez,pedro.perez@email.com,,,
1210,12,70,1.17,10148080-1,Diego Gonzalez,diego.gonzalez@email.com,,,
1301,13,60,1.0,10149314-4,Carlos Ruiz,carlos.ruiz@email.com,,,
1302,13,60,1.0,10150548-7,Lucia Fernandez,lucia.fernandez@email.com,,,
1303,13,70,1.17,10151782-5,Andres Castro,andres.castro@email.com,,,
1304,13,45,0.75,10153016-3,Elena Vega,elena.vega@email.com,,,
1305,13,80,1.33,10154250-1,Raul Soto,raul.soto@email.com,,,
1306,13,50,0.83,10155484-9,Beatriz Lara,beatriz.lara@email.com,,,
1307,13,80,1.33,10156718-7,Mario Palma,mario.palma@email.com,,,
1308,13,45,0.75,10157952-5,Rosa Duarte,rosa.duarte@email.com,,,
1309,13,80,1.33,10159186-3,Fernando Rios,fernando.rios@email.com,,,
1310,13,70,1.17,10160420-1,Marta Pino,marta.pino@email.com,,,
1401,14,70,1.17,10161654-4,Ignacio Flores,ignacio.flores@email.com,,,
1402,14,80,1.33,10162888-7,Olga Mendoza,olga.mendoza@email.com,,,
1403,14,80,1.33,10164122-9,Victor Salinas,victor.salinas@email.com,,,
1404,14,60,1.0,10165356-1,Julia Campos,julia.campos@email.com,,,
1405,14,45,0.75,10166590-K,Hugo Parra,hugo.parra@email.com,,,
1406,14,80,1.33,10167824-8,Silvia Reyes,silvia.reyes@email.com,,,
1407,14,80,1.33,10169058-0,Ramon Bravo,ramon.bravo@email.com,,,
1408,14,50,0.83,10170292-9,Alicia Herrera,alicia.herrera@email.com,,,
1409,14,45,0.75,10171526-5,Oscar Fuentes,oscar.fuentes@email.com,,,
1410,14,50,0.83,10172760-5,Isabel Paredes,isabel.paredes@email.com,,,
1501,15,60,1.0,10173994-8,Gabriel Tapia,gabriel.tapia@email.com,,,
1502,15,50,0.83,10175228-4,Lorena Cortes,lorena.cortes@email.com,,,
1503,15,80,1.33,10176462-2,Sebastian Vera,sebastian.vera@email.com,,,
1504,15,70,1.17,10177696-5,Daniela Jara,daniela.jara@email.com,,,
1505,15,45,0.75,10178930-9,Claudio Leiva,claudio.leiva@email.com,,,
1506,15,70,1.17,10180164-1,Paola Espinoza,paola.espinoza@email.com,,,
1507,15,80,1.33,10181398-4,Ricardo Valdes,ricardo.valdes@email.com,,,
1508,15,70,1.17,10182632-6,Francisca Osorio,francisca.osorio@email.com,,,
1509,15,45,0.75,10183866-0,Patricio Navarro,patricio.navarro@email.com,,,
1510,15,70,1.17,10185099-2,Natalia Godoy,natalia.godoy@email.com,,,
1601,16,45,0.75,10186334-5,Alvaro Rivas,alvaro.rivas@email.com,,,
1602,16,80,1.33,10187568-8,Valentina Suazo,valentina.suazo@email.com,,,
1603,16,60,1.0,10188802-1,Benjamin Mendez,benjamin.mendez@email.com,,,
1604,16,60,1.0,10190036-4,Constanza Robles,constanza.robles@email.com,,,
1605,16,80,1.33,10191270-2,Felipe Pardo,felipe.pardo@email.com,,,
1606,16,45,0.75,10192504-9,Monserrat Acuna,monserrat.acuna@email.com,,,
1607,16,45,0.75,10193738-3,Rodrigo Moya,rodrigo.moya@email.com,,,
1608,16,50,0.83,10194972-1,Javiera Arriagada,javiera.arriagada@email.com,,,
1609,16,50,0.83,10196206-8,Gustavo Olivares,gustavo.olivares@email.com,,,
1610,16,60,1.0,10197440-6,Catalina Villalobos,catalina.villalobos@email.com,,,
1701,17,45,0.75,10198674-9,Marcos Gallardo,marcos.gallardo@email.com,,,
1702,17,45,0.75,10199908-7,Jimena Carvajal,jimena.carvajal@email.com,,,
1703,17,45,0.75,10201142-5,Emilio Caceres,emilio.caceres@email.com,,,
1704,17,50,0.83,10202376-8,Susana Toledo,susana.toledo@email.com,,,
1705,17,70,1.17,10203610-K,Arturo Beltran,arturo.beltran@email.com,,,
1706,17,60,1.0,10204844-4,Monica Saavedra,monica.saavedra@email.com,,,
1707,17,80,1.33,10206078-7,Eduardo Figueroa,eduardo.figueroa@email.com,,,
1708,17,60,1.0,10207312-9,Viviana Henriquez,viviana.henriquez@email.com,,,
1709,17,50,0.83,10208546-1,Guillermo Carrasco,guillermo.carrasco@email.com,,,
1710,17,70,1.17,10209780-1,Gloria Nunez,gloria.nunez@email.com,,,
